Country,Year,Happiness index,GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country code,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Households overcrowding,Internet access,Home access to computers,Unemployment benefits,Average wage,Health spending,Happy country
Spain,2011,6.456477642059326,10.492376327514648,0.9478644132614136,73.37999725341797,0.7384723424911499,-0.028165718540549278,0.8538879156112671,0.7162659168243408,0.33546000719070435,ESP,-0.8047075,43.382374,96.5392586518534,21.0619813423205,21.46796,0.227,9.653882,2.94702053070068,74.3549,73.3335,56.0,39484.1401956281,9.089,0
Switzerland,2011,7.473252773284912,11.049914360046387,0.9513521194458008,71.54000091552734,0.9189577102661133,0.2904559075832367,0.4079314172267914,0.8214024305343628,0.2119293361902237,CHE,7.037561,14.6002,72.8538178654553,76.9940187691882,17.3258,0.11,7.5693445,4.63976748287678,70.49,77.4,70.0,61254.4738602834,9.533,1
Turkey,2011,5.271944046020508,9.99565601348877,0.691901683807373,64.63999938964844,0.44560664892196655,-0.241873636841774,0.6485962271690369,0.621293306350708,0.37978431582450867,TUR,9.853599,67.851822,62.5497500000001,59.6201816176014,34.1941,0.275,24.779497,11.405780157246307,41.6259,44.2265,0.0,40640.148718197495,4.653,1
United Kingdom,2011,6.801930904388428,10.699263572692871,0.9698696732521057,70.45999908447266,0.8383316397666931,0.3362516760826111,0.4980934262275696,0.7823530435562134,0.2410520613193512,GBR,5.588235,27.807289,93.5535,50.3511236708084,19.878318357723604,0.141,10.704359,3.31182144582272,66.7177,75.3778,18.0,47824.786055827,8.785,0
United States,2011,7.115138530731201,10.912989616394043,0.9217050075531006,68.68000030517578,0.8632023930549622,0.16068419814109802,0.6969257593154907,0.8363603353500366,0.27337852120399475,USA,15.35126,10.741901,82.4996213048089,38.2531597881553,7.98758,0.205,8.2471695,3.75785678625107,71.7,75.57,61.0,61131.6800040717,16.199,0
Australia,2012,7.19558572769165,10.753671646118164,0.9445990324020386,72.4000015258789,0.9351462721824646,0.27363547682762146,0.3682517409324646,0.8107417821884155,0.2143969088792801,AUS,7.324251,23.563389,78.88025,42.0419178918908,12.21689,0.129,7.2310648,11.405780157246307,83.0,82.57,31.0,53919.3282440152,8.676,0
Austria,2012,7.470512866973877,10.886909484863281,0.94415682554245,71.54000091552734,0.9393556118011475,0.13157762587070465,0.7027209997177124,0.7894708514213562,0.14523755013942719,AUT,10.93313,17.636829,81.5975,40.6920116166579,15.54692,0.092,5.8195653,10.712655633688,75.4407,78.0696,51.0,51755.1160926445,10.026,0
Belgium,2012,7.218839645385742,10.79197883605957,0.9216027855873108,70.26000213623047,0.9008703827857971,0.06949985027313232,0.721093475818634,0.8134771585464478,0.21760430932044983,BEL,0.1352189,32.046577,85.8187500000001,33.6516478821503,17.4305,0.092,5.2268248,3.69981303811073,60.164,67.1963,77.0,53224.860382965,9.166,0
Belgium,2012,7.103661060333252,10.784006118774414,0.9091861844062805,71.16000366210938,0.8907110691070557,0.016689838841557503,0.5736643075942993,0.797417402267456,0.21713894605636597,BEL,-3.813783,27.241648,98.9620000000001,55.4124504898777,18.78902,0.092,6.7221231,1.6174390912056,80.0478,81.8651,83.0,55503.3675184005,10.561,0
Brazil,2012,6.69142484664917,9.55466365814209,0.8781075477600098,64.0199966430664,0.7819311022758484,-0.07766135782003403,0.6882727742195129,0.8202716708183289,0.2654855251312256,BRA,13.05021,61.161831,93.9386394444911,51.1266636540454,35.40044,0.307,13.777344,11.405780157246307,17.6,24.6,42.07643312101911,40640.148718197495,8.011,1
Canada,2012,7.650346279144287,10.716547012329102,0.9537654519081116,72.19999694824219,0.933948814868927,0.23045091331005096,0.41265958547592163,0.8788676857948303,0.2331128567457199,CAN,6.643876,11.736887,79.8629427505446,55.1076448952314,10.31061,0.157,8.2154264,0.654061091181972,78.3,82.6,31.0,50024.149303565,10.696,0
Chile,2012,5.697929859161377,9.887109756469727,0.8146209716796875,68.72000122070312,0.6619051098823547,0.24390743672847748,0.7226705551147461,0.7669786810874939,0.3422619104385376,CHL,8.448631,43.493385,47.34,47.8705612609628,26.06474,0.23,17.024143,9.82161909341812,19.7,34.5,25.0,20097.9317417693,6.175,1
Chile,2012,6.1506428718566895,10.0201416015625,0.8884122967720032,70.0999984741211,0.7813835740089417,0.03299075737595558,0.8118188381195068,0.8146027326583862,0.3360286056995392,CHL,0.9629865,32.552322,146.639750003472,17.146378832949,23.65793,0.215,11.724501,9.25341174006462,87.53899513,60.15454498,37.0,26728.9187554196,9.365,1
Colombia,2012,5.709175109863281,9.495491027832031,0.7970352172851562,68.30000305175781,0.8401861190795898,-0.0846422091126442,0.807964026927948,0.7951326966285706,0.3401585817337036,COL,2.524621,41.220875,135.556250002036,37.3634383411604,52.47844,0.15151481481481477,22.867563,11.405780157246307,52.15725365,37.1666571,42.07643312101911,40640.148718197495,1.145,0
